City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,Carutapera,-1.195,-46.02,77.47,88,100,9.64,BR,2/2/2022 20:27
310,Daru,-9.0763,143.2092,74.34,84,100,6.24,PG,2/2/2022 20:27
311,Caravelas,-17.7125,-39.2481,80.82,79,100,7.23,BR,2/2/2022 20:27
312,Collie,-33.3667,116.15,61.99,44,45,11.07,AU,2/2/2022 20:23
313,Edinburg,55.9521,-3.1965,49.59,88,40,8.99,GB,2/2/2022 20:22
314,San Jose,37.3394,-121.895,63.16,23,20,5.01,US,2/2/2022 20:23
315,Aklavik,68.2191,-135.0107,-25.6,75,40,3.44,CA,2/2/2022 20:27
316,Haines Junction,60.7522,-137.5108,-2.25,65,99,5.75,CA,2/2/2022 20:27
317,Coquimbo,-29.9533,-71.3436,69.53,64,20,16.11,CL,2/2/2022 20:27
318,Nishihara,26.1842,127.7558,69.08,95,75,4.61,JP,2/2/2022 20:26
319,Airai,-8.9266,125.4092,60.31,88,100,2.26,TL,2/2/2022 20:27
320,Brae,60.3964,-1.353,46.31,88,100,9.62,GB,2/2/2022 20:27
321,Makakilo City,21.3469,-158.0858,79.12,64,0,5.75,US,2/2/2022 20:27
322,Bud,39.447,-86.1758,45.12,97,100,6.71,US,2/2/2022 20:27
323,Nchelenge,-9.3451,28.734,72.07,75,100,4.72,ZM,2/2/2022 20:27
324,Coxim,-18.5067,-54.76,81.28,81,100,7.96,BR,2/2/2022 20:27
325,Kamina,-8.7386,24.9906,63.55,97,100,0.96,CD,2/2/2022 20:25
326,East London,-33.0153,27.9116,75.74,92,56,18.88,ZA,2/2/2022 20:26
327,Gazanjyk,39.2446,55.5154,47.57,47,0,11.14,TM,2/2/2022 20:28
328,Warnes,-17.5,-63.1667,92.48,62,40,12.66,BO,2/2/2022 20:28
329,Ribeira Grande,38.5167,-28.7,57.6,72,20,8.05,PT,2/2/2022 20:27
330,Avigliana,45.0771,7.3986,53.78,46,0,7.4,IT,2/2/2022 20:28
331,Port Hardy,50.6996,-127.4199,43.75,93,100,14.97,CA,2/2/2022 20:24
332,Qaqortoq,60.7167,-46.0333,5.5,73,16,6.8,GL,2/2/2022 20:28
333,Chase,50.8165,-119.6857,20.79,85,100,3.8,CA,2/2/2022 20:28
334,Hamilton,39.1834,-84.5333,45,94,100,1.01,US,2/2/2022 20:28
335,Kloulklubed,7.0419,134.2556,80.31,78,100,20.02,PW,2/2/2022 20:28
336,Henties Bay,-22.116,14.2845,69.85,79,86,6.17,NA,2/2/2022 20:28
337,Maumere,-8.6199,122.2111,78.8,83,85,4.94,ID,2/2/2022 20:28
338,Shanghai,31.2222,121.4581,40.93,70,0,1.01,CN,2/2/2022 20:24
339,Ambilobe,-13.2,49.05,73.83,95,98,1.45,MG,2/2/2022 20:28
340,Bubaque,11.2833,-15.8333,77.99,86,8,17.07,GW,2/2/2022 20:28
341,Oranjemund,-28.55,16.4333,67.89,85,100,6.53,NA,2/2/2022 20:28
342,Fort Nelson,58.8053,-122.7002,-15.21,76,100,2.3,CA,2/2/2022 20:28
343,Malysheva,57.1185,61.4035,21.18,96,94,4.92,RU,2/2/2022 20:28
344,Arica,-18.475,-70.3042,80.15,60,0,13.8,CL,2/2/2022 20:28
345,Anadyr,64.75,177.4833,18.1,57,0,29.08,RU,2/2/2022 20:28
346,Linqing,36.8456,115.7117,29.97,41,0,3.96,CN,2/2/2022 20:28
347,Newport,51.5877,-2.9984,50.16,87,100,8.41,GB,2/2/2022 20:28
348,Hun,29.1268,15.9477,50.25,54,9,14.56,LY,2/2/2022 20:26
349,Atar,20.5169,-13.0499,78.22,18,0,9.6,MR,2/2/2022 20:28
350,Wanaka,-44.7,169.15,66.11,91,100,1.99,NZ,2/2/2022 20:25
351,Esmeralda,21.8525,-78.1169,85.24,61,91,12.55,CU,2/2/2022 20:28
352,Shirdi,19.7667,74.4833,66.63,39,3,9.04,IN,2/2/2022 20:28
353,Homa Bay,-0.5273,34.4571,71.28,70,100,5.08,KE,2/2/2022 20:28
354,Ahipara,-35.1667,173.1667,70.81,83,99,11.92,NZ,2/2/2022 20:28
355,Sembe,1.6481,14.5806,82.15,38,100,2.01,CG,2/2/2022 20:28
356,Jalu,29.0331,21.5482,53.42,59,45,14.61,LY,2/2/2022 20:28
357,Barcelona,41.3888,2.159,59.85,71,0,5.01,ES,2/2/2022 20:26
358,Cuddapah,14.4667,78.8167,69.49,70,2,5.68,IN,2/2/2022 20:28
359,Saint-Augustin,51.226,-58.6502,24.49,81,100,25.01,CA,2/2/2022 20:28
360,Ixtapa,20.7,-105.2,74.43,53,0,12.66,MX,2/2/2022 20:28
361,Sandi,27.3,79.95,53.35,62,4,8.66,IN,2/2/2022 20:28
362,Sinnamary,5.3833,-52.95,80.46,76,37,11.56,GF,2/2/2022 20:28
363,Sitka,57.0531,-135.33,39.09,87,100,4.61,US,2/2/2022 20:28
364,Danielskuil,-28.1887,23.5395,72.37,66,92,12.46,ZA,2/2/2022 20:28
365,Dunmore Town,25.5,-76.65,72.73,61,1,18.7,BS,2/2/2022 20:28
366,Quang Ngai,15.1167,108.8,70.81,91,100,4.85,VN,2/2/2022 20:29
367,Broome,42.2506,-75.833,42.46,69,0,1.99,US,2/2/2022 20:29
368,Anapskaya,44.89,37.38,52.03,76,75,13.42,RU,2/2/2022 20:29
369,Sonoita,31.85,-112.8333,54.54,11,0,24.67,MX,2/2/2022 20:29
370,Upernavik,72.7868,-56.1549,-4.67,68,100,5.55,GL,2/2/2022 20:28
